text,href
"  
      Soin & beauté
    ",/h/soin-beaute/h10018615
"  
      Animaux
    ",/h/animaux/h10018952
"     
          Je découvre
        ",https://www.lidl.fr/l/catalogue-de-la-semaine/catalogue-e-commerce-du-09-11-au-04-12/view/flyer/page/1
"   
            Découvrez nos calendriers de l'Avent
          ",/c/o-s46-calendrier-de-l-avent/a10033971?channel=online&tabCode=Only_Online
"   
            Bons plans !
          ",/c/os-bons-plans/a10028334?channel=online&tabCode=Only_Online
"   
            Des jouets qui font plaisir ! 
          ",/c/o-s46-jouets/a10033531?channel=online&tabCode=Only_Online
"   
            Les sports d'hiver pour tout la famille
          ",/c/o-s46-ski/a10033581?channel=online&tabCode=Only_Online
"   
            Pour dormir
          ",/c/o-s46-pour-dormir/a10033430?channel=online&tabCode=Only_Online
"   
            Mode femme
          ",/c/o-s46-mode-femme/a10033432?channel=online&tabCode=Only_Online
"   
            Bricolage
          ",/c/o-s46-bricolage/a10033431?channel=online&tabCode=Only_Online
"   
            Mode bébé enfant
          ",/c/o-s46-mode-bebe-enfant/a10033439?channel=online&tabCode=Only_Online
"   
            Machines de sport
          ",/c/o-s46-machines-de-sport/a10033434?channel=online&tabCode=Only_Online
"   
            Luminaires
          ",/c/o-s46-luminaires/a10033433?channel=online&tabCode=Only_Online
"   
            Pour votre voiture électrique
          ",/c/o-s46-charge-voiture-electrique/a10033092?channel=online&tabCode=Only_Online
"   
            Des jouets à petits prix
          ",/c/o-s45-jouets/a10032721?channel=online&tabCode=Only_Online
"   
            Nouveautés bébé & enfant
          ",/c/o-s45-nouveaute-mode-bebe/a10032720?channel=online&tabCode=Only_Online
"   
            Soyez bien au chaud cet hiver
          ",/c/o-s45-chauffage/a10032719?channel=online&tabCode=Only_Online
"   
            Des idées cadeaux pour les fêtes
          ",/c/o-s45-idees-cadeaux-noel/a10032717?channel=online&tabCode=Only_Online
"     
          Tout l'univers PARKSIDE
        ",/c/parkside-campagne/s10027653
 ,https://www.lidl.fr/c/tw-deco-de-noel/a10033441
 ,/p/livarno-home-boules-pour-sapin-de-noel-68-pieces/p100355096
 ,/p/livarno-home-guirlande-branches-de-sapin-a-led/p100367325
 ,/p/livarno-home-set-de-lumieres-decoratives-a-led/p100367041
"
    Préparez les fêtes de fin d'année
   
    pour des moments inoubliables !
  ",https://www.lidl.fr/c/tw-deco-de-noel/a10033441
 ,https://www.lidl.fr/c/tw-jouets-noel/a10032869
 ,/p/playtive-set-de-chemin-de-fer/p100367566
 ,/p/lego-friends-le-camion-de-recyclage/p100368002
 ,/p/playtive-cuisine-gourmet-enfant-en-bois/p100367512
"
    Notre sélection de jouets pour les fêtes
   
    à prix imbattables !
  ",https://www.lidl.fr/c/tw-jouets-noel/a10032869
 ,https://www.lidl.fr/q/brand/parkside
 ,/p/parkside-aspirateur-souffleur-de-feuilles-a-essence-pbls-26-a1/p100354637
 ,/p/parkside-perceuse-visseuse-a-percussions-3-en-1-sans-fil-psbsa-20-v/p100359628
"
    PARKSIDE - Vous pouvez le faire !
   
    Découvrez toute la gamme PARKSIDE
  ",https://www.lidl.fr/q/brand/parkside
 ,https://www.lidl.fr/c/tw-baking-online/a10020197
 ,/p/zenker-moule-a-manque-a-charniere-38-x-25-cm-avec-rebord-amovible/p100344755
 ,/p/silvercrest-kitchen-tools-robot-patissier-skm-600-c2-600-w/p100352012
 ,/p/silvercrest-kitchen-tools-gaufrier-swe-1200-d1/p100358879
"
    Réalisez vos plus beaux gâteaux
   
    Ustensiles de cuisine et de pâtisserie 
  ",https://www.lidl.fr/c/tw-baking-online/a10020197
 ,https://www.lidl.fr/c/tw-vetements-enfants/a10020891
 ,/p/lot-de-2-debardeurs-petit-garcon/p100354414
 ,/p/lupilu-ensemble-rose-en-molleton-et-legging/p100351113
 ,/p/lupilu-sweat-manches-longues-petit-garcon/p100352512
"
    Rayonnez de couleurs 
   
    La mode pour enfants
  ",https://www.lidl.fr/c/tw-vetements-enfants/a10020891
 ,https://www.lidl.fr/c/tw-produits-qui-parlent/a10030933
 ,/p/silvercrest-kitchen-tools-set-mixeur-plongeant-chrome-retro-1973/p100364445003
 ,/p/parkside-compresseur-silencieux-psko-248-a1-24-l/p100360970
 ,/p/crivit-kayak-de-randonnee-3-places-gonflable/p100362779
"
    Les produits qui parlent
   
    Découvrez-les ! 
  ",https://www.lidl.fr/c/tw-produits-qui-parlent/a10030933
 ,https://www.lidl.fr/c/tw-cooking-online/a10020189
 ,/p/silvercrest-kitchen-tools-hachoir-multifonction-smzc-500-c2-500-w-1-2-l/p100352073
 ,/p/silvercrest-kitchen-tools-mixeur-plongeant-ssm-350-a1-350-w/p100351997
"
    Prêt à cuisiner
   
    Ustensiles de cuisine et vaisselle pour toutes les occasions
  ",https://www.lidl.fr/c/tw-cooking-online/a10020189
 ,https://www.lidl.fr/c/tw-activites-d-eau/a10021782
 ,/p/bestway-kit-de-piscine-complet-power-steel-frame-avec-pompe-de-filtration-o-396-x-107-cm/p100352188
 ,/p/bestway-echelle-de-piscine-flowclear-107-cm/p100333511
 ,/p/crivit-set-de-badminton/p100362967
"
    Sports aquatiques
   
    Tous nos équipements
  ",https://www.lidl.fr/c/tw-activites-d-eau/a10021782
 ,https://www.lidl.fr/c/tw-meuble-de-jardin/a10021550
 ,/p/livarno-home-banquette-convertible-sevilla-2-places/p100360636
"
    Espace détente dans votre jardin 
   
    Tout pour aménager votre jardin 
  ",https://www.lidl.fr/c/tw-meuble-de-jardin/a10021550
 ,https://www.lidl.fr/c/tw-outils-de-jardinage/a10020662
 ,/p/parkside-coupe-branches-telescopique-o-6-mm/p100360424
 ,/p/parkside-motobineuse-electrique-pgk-1500-a1-1-500-w/p100360177
"
    Profitez des beaux jours
   
    Outils de jardinage pour vos extérieurs
  ",https://www.lidl.fr/c/tw-outils-de-jardinage/a10020662
 ,https://www.lidl.fr/c/tw-bike-online/a10020194
 ,/p/leroc-bikes-support-d-entrainement-pliable-pour-velo-d-interieur/p100358107
"
    Pour vos sorties sportives
   
    Équipez-vous toute l'année 
  ",https://www.lidl.fr/c/tw-bike-online/a10020194
 ,https://www.lidl.fr/c/tw-presents-online/a10020198
 ,/p/silvercrest-kitchen-tools-grille-pain-a-double-fente-870-w/p100349458
 ,/p/silvercrest-casque-bluetooth-supra-auriculaire/p100355498
 ,/p/silvercrest-personal-care-seche-cheveux-ionique-dc-shdb-2200-b1/p100352640
"
    Offrir à moindre coût 
   
    Idées de petits cadeaux 
  ",https://www.lidl.fr/c/tw-presents-online/a10020198
 ,https://www.lidl.fr/c/parkside/s10019250
 ,https://www.lidl.fr/c/silvercrest/s10019661
 ,https://www.lidl.fr/c/esmara/s10019764
 ,https://www.lidl.fr/c/livarno-home/s10019967
 ,https://www.lidl.fr/c/crivit/s10019930
 ,/c/livergy/s10020966
 ,https://www.lidl.fr/c/ernesto-r/s10021030
 ,/c/playtive/s10021063
 ,/c/lupilu/s10021910
 ,/c/rocktrail/s10021780
 ,https://www.lidl.fr/c/grillmeister/s10021112
 ,https://www.lidl.fr/q/query/parkside-jardin
 ,/p/parkside-nettoyeur-haute-pression-phd-170-c2-2-400-w/p100359961
 ,/p/parkside-coupe-bordures-taille-haies-2-en-1-sans-fil-pgsa-4-a2/p100362053
"
    Tout pour l'entretien de votre jardin !
   
    Découvrez les produits PARKSIDE
  ",https://www.lidl.fr/q/query/parkside-jardin
 ,https://www.lidl.fr/q/query/parkside-bricolage
 ,/p/parkside-boite-a-outils-129-pieces/p100361358
 ,/p/parkside-scie-circulaire-manuelle-sans-fil-phksa-20-li-20-v/p100359613
 ,/p/parkside-scie-sauteuse-et-scie-sabre-sans-fil-2en1-psssa-20-li-b2-20-v/p100365283
"
    L'atelier de vos rêves chez vous
   
    Créez votre atelier avec PARKSIDE
  ",https://www.lidl.fr/q/query/parkside-bricolage
